Bedrijfsnaam	Contactpersoon Voornaam	Contactpersoon Achternaam	Email	Telefoon	Functie Contact	Website	Stad	Provincie	Postcode	Deal Titel	Functietitel	Vacature URL	Datum Gevonden	Via Bemiddelaar
ASML	Lisa	van Dijk	warts+test9@recruitin.nl	640123456	Technical Recruiter	54.315	Veldhoven	Noord-Brabant	5504DR	ASML - Senior Software Engineer 123 (Veldhoven)	Senior Software Engineer 123	https://www.asml.com/careers/senior-software-engineer	2025-11-18	
Philips	Mark	de Vries	warts+test9@recruitin.nl	631234567	HR Business Partner	54.697	Eindhoven	Noord-Brabant	5656AE	Philips - Operations Manager specs (Eindhoven)	Operations Manager specs	https://www.philips.com/careers/operations-manager	2025-11-17	
Random IT BV	Peter	 Jansen	warts+test9@recruitin.nl	645678901	Technical Lead	51.214	Utrecht	Utrecht	3511AA	Random IT BV - DevOps Engineer (Utrecht)	DevOps Engineer	https://www.randomit.nl/jobs/devops	2025-11-16	
Random IT BV	Peter	 Jansen	warts+test9@recruitin.nl	645678901	Technical Lead	51.214	Utrecht	Utrecht	3511AA	Random IT BV - DevOps Engineer (Utrecht)	DevOps Engineer	https://www.randomit.nl/jobs/devops	2025-11-16	
ASML	Lisa	van Dijk	warts+test9@recruitin.nl	640123456	Technical Recruiter	54.315	Veldhoven	Noord-Brabant	5504DR	ASML - Senior Software Engineer (Veldhoven)	Senior Software Engineer	https://www.asml.com/careers/senior-software-engineer	2025-11-18	
Random IT BV	Peter	 Jansen	warts+test9@recruitin.nl	645678901	Technical Lead	51.214	Utrecht	Utrecht	3511AA	Random IT BV - DevOps Engineer (Utrecht)	DevOps Engineer	https://www.randomit.nl/jobs/devops	2025-11-16	
ASML	Lisa	van Dijk	warts+test9@recruitin.nl	640123456	Technical Recruiter	54.315	Veldhoven	Noord-Brabant	5504DR	ASML - Senior Software Engineer (Veldhoven)	Senior Software Engineer	https://www.asml.com/careers/senior-software-engineer	2025-11-18	
Philips	Mark	de Vries	warts+test9@recruitin.nl	631234567	HR Business Partner	54.697	Eindhoven	Noord-Brabant	5656AE	Philips - Operations Manager (Eindhoven)	Operations Manager	https://www.philips.com/careers/operations-manager	2025-11-17	
Random IT BV	Peter	 Jansen	warts+test9@recruitin.nl	645678901	Technical Lead	51.214	Utrecht	Utrecht	3511AA	Random IT BV - DevOps Engineer (Utrecht)	DevOps Engineer	https://www.randomit.nl/jobs/devops	2025-11-16	
DAF Trucks	Sandra	Vermeulen	warts+test11@recruitin.nl	640987654	Operations Director	https://www.daftrucks.com	Eindhoven	Noord-Brabant	5600AH	DAF Trucks - Fleet Manager (Eindhoven)	Fleet Manager	https://www.daftrucks.com/careers/fleet-manager	2025-11-20	
Vanderlande	Thomas	Jansen	warts+test12@recruitin.nl	625123456	HR Manager	https://www.vanderlande.com	Veghel	Noord-Brabant	5461JA	Vanderlande - Supply Chain Consultant (Veghel)	Supply Chain Consultant	https://www.vanderlande.com/careers/supply-chain	2025-11-20	
VDL Groep	Linda	van der Berg	warts+test13@recruitin.nl	638765432	Technical Recruiter	https://www.vdlgroep.com	Eindhoven	Noord-Brabant	5657EA	VDL Groep - Mechatronics Engineer (Eindhoven)	Mechatronics Engineer	https://www.vdlgroep.com/careers/mechatronics	2025-11-20	
Exact Software	Mark	Pietersen	warts+test14@recruitin.nl	615234567	Lead Recruiter	https://www.exact.com	Delft	Zuid-Holland	2611HB	Exact Software - Senior Backend Developer (Delft)	Senior Backend Developer	https://www.exact.com/careers/backend-dev	2025-11-19	
NXP Semiconductors	Robert	de Jong	warts+test15@recruitin.nl	624567890	Talent Acquisition Specialist	https://www.nxp.com	Nijmegen	Gelderland	6534AT	NXP Semiconductors - Hardware Architect (Nijmegen)	Hardware Architect	https://www.nxp.com/careers/hardware-architect	2025-11-19	
Thales Nederland	Jessica	Bakker	warts+test16@recruitin.nl	653456789	HR Business Partner	https://www.thalesgroup.com	Hengelo	Overijssel	7554PA	Thales Nederland - Cyber Security Specialist (Hengelo)	Cyber Security Specialist	https://www.thalesgroup.com/nl/careers/cyber-security	2025-11-19	
Coolblue	David	Smit	warts+test17@recruitin.nl	610234567	People & Culture Lead	https://www.coolblue.nl	Rotterdam	Zuid-Holland	3021AD	Coolblue - E-commerce Manager (Rotterdam)	E-commerce Manager	https://www.coolblue.nl/werken-bij/e-commerce-manager	2025-11-19	
Rituals	Anne	Hendriks	warts+test18@recruitin.nl	621345678	Retail HR Manager	https://www.rituals.com	Amsterdam	Noord-Holland	1017ZN	Rituals - Store Manager (Amsterdam)	Store Manager	https://www.rituals.com/careers/store-manager	2025-11-18	Tempo-Team
bol.com	Frank	Mulder	warts+test19@recruitin.nl	634567890	Tech Talent Partner	https://www.bol.com	Utrecht	Utrecht	3532AD	bol.com - Product Owner (Utrecht)	Product Owner	https://careers.bol.com/product-owner	2025-11-18	
Rabobank	Monique	Visser	warts+test20@recruitin.nl	643210987	Senior Recruiter	https://www.rabobank.nl	Utrecht	Utrecht	3521CB	Rabobank - Business Analyst (Utrecht)	Business Analyst	https://www.rabobank.nl/careers/business-analyst	2025-11-18	
ING	Patrick	de Vries	warts+test21@recruitin.nl	656789012	Agile Talent Lead	https://www.ing.nl	Amsterdam	Noord-Holland	1082PP	ING - Scrum Master (Amsterdam)	Scrum Master	https://www.ing.nl/careers/scrum-master	2025-11-17	
NS (Nederlandse Spoorwegen)	Karin	Willemse	warts+test22@recruitin.nl	612987654	HR Advisor	https://www.ns.nl	Utrecht	Utrecht	3511EP	NS - Project Manager Infrastructuur (Utrecht)	Project Manager Infrastructuur	https://www.werkenvoorns.nl/project-manager	2025-11-17	
Eneco	Stefan	Dijkstra	warts+test23@recruitin.nl	625678901	Recruitment Specialist	https://www.eneco.nl	Rotterdam	Zuid-Holland	3011AD	Eneco - Energy Transition Consultant (Rotterdam)	Energy Transition Consultant	https://www.eneco.nl/careers/energy-consultant	2025-11-17	
Booking.com	Emily	van Leeuwen	warts+test24@recruitin.nl	638901234	Design Recruiter	https://www.booking.com	Amsterdam	Noord-Holland	1097DN	Booking.com - UX Designer (Amsterdam)	UX Designer	https://careers.booking.com/ux-designer	2025-11-16	
TomTom	Jeroen	Kuipers	warts+test25@recruitin.nl	641234567	Tech Talent Scout	https://www.tomtom.com	Amsterdam	Noord-Holland	1096AC	TomTom - iOS Developer (Amsterdam)	iOS Developer	https://www.tomtom.com/careers/ios-developer	2025-11-16	
