rij_nummer;deal_titel;bedrijfsnaam;functietitel;voornaam;achternaam;email;telefoon;functie_contact;website;stad;provincie;postcode;vacature_url;datum_gevonden;via_bemiddelaar
107;ASML - Senior Software Engineer 123 (Veldhoven);ASML;Senior Software Engineer 123;Lisa;van Dijk;warts+test9@recruitin.nl;640123456;Technical Recruiter;54.315;Veldhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-18;
108;Philips - Operations Manager specs (Eindhoven);Philips;Operations Manager specs;Mark;de Vries;warts+test9@recruitin.nl;631234567;HR Business Partner;54.697;Eindhoven;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-17;
109;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
110;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
111;ASML - Senior Software Engineer (Veldhoven);ASML;Senior Software Engineer;Lisa;van Dijk;warts+test9@recruitin.nl;640123456;Technical Recruiter;54.315;Veldhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-18;
112;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
113;ASML - Senior Software Engineer (Veldhoven);ASML;Senior Software Engineer;Lisa;van Dijk;warts+test9@recruitin.nl;640123456;Technical Recruiter;54.315;Veldhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-18;
114;Philips - Operations Manager (Eindhoven);Philips;Operations Manager;Mark;de Vries;warts+test9@recruitin.nl;631234567;HR Business Partner;54.697;Eindhoven;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-17;
115;Random IT BV - DevOps Engineer (Utrecht);Random IT BV;DevOps Engineer;Peter;Jansen;warts+test9@recruitin.nl;645678901;Technical Lead;51.214;Utrecht;Utrecht;3511AA;https://www.randomit.nl/jobs/devops;2025-11-16;
116;DAF Trucks - Fleet Manager (Eindhoven);DAF Trucks;Fleet Manager;Sandra;Vermeulen;warts+test11@recruitin.nl;640987654;Operations Director;https://www.daftrucks.com;Eindhoven;Noord-Brabant;5600AH;https://www.daftrucks.com/careers/fleet-manager;2025-11-20;
117;Vanderlande - Supply Chain Consultant (Veghel);Vanderlande;Supply Chain Consultant;Thomas;Jansen;warts+test12@recruitin.nl;625123456;HR Manager;https://www.vanderlande.com;Veghel;Noord-Brabant;5461JA;https://www.vanderlande.com/careers/supply-chain;2025-11-20;
118;VDL Groep - Mechatronics Engineer (Eindhoven);VDL Groep;Mechatronics Engineer;Linda;van der Berg;warts+test13@recruitin.nl;638765432;Technical Recruiter;https://www.vdlgroep.com;Eindhoven;Noord-Brabant;5657EA;https://www.vdlgroep.com/careers/mechatronics;2025-11-20;
119;Exact Software - Senior Backend Developer (Delft);Exact Software;Senior Backend Developer;Mark;Pietersen;warts+test14@recruitin.nl;615234567;Lead Recruiter;https://www.exact.com;Delft;Zuid-Holland;2611HB;https://www.exact.com/careers/backend-dev;2025-11-19;
120;NXP Semiconductors - Hardware Architect (Nijmegen);NXP Semiconductors;Hardware Architect;Robert;de Jong;warts+test15@recruitin.nl;624567890;Talent Acquisition Specialist;https://www.nxp.com;Nijmegen;Gelderland;6534AT;https://www.nxp.com/careers/hardware-architect;2025-11-19;
121;Thales Nederland - Cyber Security Specialist (Hengelo);Thales Nederland;Cyber Security Specialist;Jessica;Bakker;warts+test16@recruitin.nl;653456789;HR Business Partner;https://www.thalesgroup.com;Hengelo;Overijssel;7554PA;https://www.thalesgroup.com/nl/careers/cyber-security;2025-11-19;
122;Coolblue - E-commerce Manager (Rotterdam);Coolblue;E-commerce Manager;David;Smit;warts+test17@recruitin.nl;610234567;People & Culture Lead;https://www.coolblue.nl;Rotterdam;Zuid-Holland;3021AD;https://www.coolblue.nl/werken-bij/e-commerce-manager;2025-11-19;
123;Rituals - Store Manager (Amsterdam);Rituals;Store Manager;Anne;Hendriks;warts+test18@recruitin.nl;621345678;Retail HR Manager;https://www.rituals.com;Amsterdam;Noord-Holland;1017ZN;https://www.rituals.com/careers/store-manager;2025-11-18;Tempo-Team
124;bol.com - Product Owner (Utrecht);bol.com;Product Owner;Frank;Mulder;warts+test19@recruitin.nl;634567890;Tech Talent Partner;https://www.bol.com;Utrecht;Utrecht;3532AD;https://careers.bol.com/product-owner;2025-11-18;
125;Rabobank - Business Analyst (Utrecht);Rabobank;Business Analyst;Monique;Visser;warts+test20@recruitin.nl;643210987;Senior Recruiter;https://www.rabobank.nl;Utrecht;Utrecht;3521CB;https://www.rabobank.nl/careers/business-analyst;2025-11-18;
126;ING - Scrum Master (Amsterdam);ING;Scrum Master;Patrick;de Vries;warts+test21@recruitin.nl;656789012;Agile Talent Lead;https://www.ing.nl;Amsterdam;Noord-Holland;1082PP;https://www.ing.nl/careers/scrum-master;2025-11-17;
127;NS - Project Manager Infrastructuur (Utrecht);NS (Nederlandse Spoorwegen);Project Manager Infrastructuur;Karin;Willemse;warts+test22@recruitin.nl;612987654;HR Advisor;https://www.ns.nl;Utrecht;Utrecht;3511EP;https://www.werkenvoorns.nl/project-manager;2025-11-17;
128;Eneco - Energy Transition Consultant (Rotterdam);Eneco;Energy Transition Consultant;Stefan;Dijkstra;warts+test23@recruitin.nl;625678901;Recruitment Specialist;https://www.eneco.nl;Rotterdam;Zuid-Holland;3011AD;https://www.eneco.nl/careers/energy-consultant;2025-11-17;
129;Booking.com - UX Designer (Amsterdam);Booking.com;UX Designer;Emily;van Leeuwen;warts+test24@recruitin.nl;638901234;Design Recruiter;https://www.booking.com;Amsterdam;Noord-Holland;1097DN;https://careers.booking.com/ux-designer;2025-11-16;
130;TomTom - iOS Developer (Amsterdam);TomTom;iOS Developer;Jeroen;Kuipers;warts+test25@recruitin.nl;641234567;Tech Talent Scout;https://www.tomtom.com;Amsterdam;Noord-Holland;1096AC;https://www.tomtom.com/careers/ios-developer;2025-11-16;
